Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4701614,sub,COGS,Folks,MT,RND,RND100,Anim,Worktime,Animation,ANM - Animation (Asset),04/09/2024,2,04/09/2024 14:00,04/09/2024 16:00,MT - PayPeriod 9 - 04/07/2024
4701615,sub,COGS,Folks,MT,RND,RND100,Anim,Worktime,Animation,ANM - Animation (Asset),04/11/2024,2,04/11/2024 14:00,04/11/2024 16:00,MT - PayPeriod 9 - 04/07/2024
4701616,sub,COGS,Folks,MT,RND,RND100,Anim,Worktime,Animation,ANM - Animation (Asset),04/10/2024,2,04/10/2024 14:00,04/10/2024 16:00,MT - PayPeriod 9 - 04/07/2024
4672203,sub,COGS,Folks,MT,ProjectK,PRK101,Animation,Worktime,Animation,ANM - Animation (Shot),04/02/2024,3,04/02/2024 14:00,04/02/2024 17:00,MT - PayPeriod 8 - 03/24/2024
4681659,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/02/2024,2,04/02/2024 10:00,04/02/2024 12:00,MT - PayPeriod 8 - 03/24/2024
4681660,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/02/2024,2.5,04/02/2024 14:00,04/02/2024 16:30,MT - PayPeriod 8 - 03/24/2024
4681661,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/03/2024,3,04/03/2024 10:00,04/03/2024 13:00,MT - PayPeriod 8 - 03/24/2024
4681662,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/02/2024,2.5,04/02/2024 16:30,04/02/2024 19:00,MT - PayPeriod 8 - 03/24/2024
4681664,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/04/2024,2,04/04/2024 10:00,04/04/2024 12:00,MT - PayPeriod 8 - 03/24/2024
4681665,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/03/2024,5,04/03/2024 14:00,04/03/2024 19:00,MT - PayPeriod 8 - 03/24/2024
4681666,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/04/2024,4,04/04/2024 15:00,04/04/2024 19:00,MT - PayPeriod 8 - 03/24/2024
4681669,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/05/2024,2,04/05/2024 17:00,04/05/2024 19:00,MT - PayPeriod 8 - 03/24/2024
4681670,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/05/2024,3,04/05/2024 14:00,04/05/2024 17:00,MT - PayPeriod 8 - 03/24/2024
4683076,sub,COGS,Folks,MT,ProjectK,PRK101,Animation,Worktime,Animation,ANM - Animation (Shot),04/02/2024,2,04/02/2024 12:00,04/02/2024 14:00,MT - PayPeriod 8 - 03/24/2024
4697808,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/12/2024,1.5,04/12/2024 10:00,04/12/2024 11:30,MT - PayPeriod 9 - 04/07/2024
4697809,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/12/2024,2,04/12/2024 14:30,04/12/2024 16:30,MT - PayPeriod 9 - 04/07/2024
4697817,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/08/2024,3,04/08/2024 10:00,04/08/2024 13:00,MT - PayPeriod 9 - 04/07/2024
4697823,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/10/2024,3,04/10/2024 10:00,04/10/2024 13:00,MT - PayPeriod 9 - 04/07/2024
4697825,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/10/2024,4,04/10/2024 14:30,04/10/2024 18:30,MT - PayPeriod 9 - 04/07/2024
4697850,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/12/2024,1.5,04/12/2024 11:30,04/12/2024 13:00,MT - PayPeriod 9 - 04/07/2024
4697854,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/09/2024,1.5,04/09/2024 17:00,04/09/2024 18:30,MT - PayPeriod 9 - 04/07/2024
4697859,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/08/2024,1.5,04/08/2024 14:30,04/08/2024 16:00,MT - PayPeriod 9 - 04/07/2024
4697877,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/11/2024,1,04/11/2024 10:00,04/11/2024 11:00,MT - PayPeriod 9 - 04/07/2024
4697884,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/08/2024,2.5,04/08/2024 16:00,04/08/2024 18:30,MT - PayPeriod 9 - 04/07/2024
4697887,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),04/11/2024,4,04/11/2024 14:30,04/11/2024 18:30,MT - PayPeriod 9 - 04/07/2024
4698282,sub,COGS,Folks,MT,RND,,Animation,Worktime,Animation,ANM - Animation (Asset),4/15/24,4,4/15/24 8:30,4/15/24 12:30,MT - PayPeriod 9 - 04/07/2024
4708774,sub,COGS,Folks,MT,RND,,Animation,Worktime,Animation,ANM - Animation (Asset),4/19/24,3.75,4/19/24 9:15,4/19/24 13:00,MT - PayPeriod 9 - 04/07/2024
4708775,sub,COGS,Folks,MT,RND,,Animation,Worktime,Animation,ANM - Animation (Asset),4/19/24,0.5,4/19/24 14:00,4/19/24 14:30,MT - PayPeriod 9 - 04/07/2024
4712918,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),4/15/24,2,4/15/24 10:00,4/15/24 12:00,MT - PayPeriod 9 - 04/07/2024
4713082,sub,COGS,Folks,MT,Conrad,CRD999,Animation,Worktime,Layout,ANM - Animation (Shot),4/16/24,1,4/16/24 14:30,4/16/24 15:30,MT - PayPeriod 9 - 04/07/2024
