Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4833641,sub,COGS,Folks,TO,HotFrosty,HF100,Anim,Worktime,Animation,ANM - Animation (Shot),6/17/24,2,6/17/24 12:30,6/17/24 14:30,TO - PayPeriod 14 - 06/16/2024
4834898,sub,COGS,Folks,BO,Verne,JV300,Anim,Worktime,Animation,ANM - Animation (Asset),6/12/24,4,6/12/24 10:00,6/12/24 14:00,BO - PayPeriod 11 - 06/01/2024
4834899,sub,COGS,Folks,BO,Verne,JV300,Anim,Worktime,Animation,ANM - Animation (Asset),6/13/24,4,6/13/24 10:00,6/13/24 14:00,BO - PayPeriod 11 - 06/01/2024
4834900,sub,COGS,Folks,BO,Verne,JV300,Anim,Worktime,Animation,ANM - Animation (Asset),6/14/24,4,6/14/24 10:00,6/14/24 14:00,BO - PayPeriod 11 - 06/01/2024
4834902,sub,COGS,Folks,BO,Verne,JV300,Anim,Worktime,Animation,ANM - Animation (Asset),6/12/24,5,6/12/24 15:00,6/12/24 20:00,BO - PayPeriod 11 - 06/01/2024
4834903,sub,COGS,Folks,BO,Verne,JV300,Anim,Worktime,Animation,ANM - Animation (Asset),6/13/24,5,6/13/24 15:00,6/13/24 20:00,BO - PayPeriod 11 - 06/01/2024
4834904,sub,COGS,Folks,BO,Verne,JV300,Anim,Worktime,Animation,ANM - Animation (Asset),6/14/24,5,6/14/24 15:00,6/14/24 20:00,BO - PayPeriod 11 - 06/01/2024
4791508,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/29/24,1.25,5/29/24 8:00,5/29/24 9:15,TO - PayPeriod 12 - 05/19/2024
4791516,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/27/24,0.5,5/27/24 15:00,5/27/24 15:30,TO - PayPeriod 12 - 05/19/2024
4791517,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/27/24,0.5,5/27/24 8:30,5/27/24 9:00,TO - PayPeriod 12 - 05/19/2024
4791518,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/27/24,5.5,5/27/24 9:30,5/27/24 15:00,TO - PayPeriod 12 - 05/19/2024
4791520,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/28/24,5,5/28/24 8:30,5/28/24 13:30,TO - PayPeriod 12 - 05/19/2024
4791521,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/28/24,2,5/28/24 13:30,5/28/24 15:30,TO - PayPeriod 12 - 05/19/2024
4791522,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/28/24,1,5/28/24 18:00,5/28/24 19:00,TO - PayPeriod 12 - 05/19/2024
4791655,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/29/24,1.25,5/29/24 9:45,5/29/24 11:00,TO - PayPeriod 12 - 05/19/2024
4791832,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/29/24,1.75,5/29/24 11:30,5/29/24 13:15,TO - PayPeriod 12 - 05/19/2024
4792387,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/29/24,0.75,5/29/24 13:15,5/29/24 14:00,TO - PayPeriod 12 - 05/19/2024
4792390,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/29/24,1.5,5/29/24 14:30,5/29/24 16:00,TO - PayPeriod 12 - 05/19/2024
4793479,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/30/24,1.75,5/30/24 8:00,5/30/24 9:45,TO - PayPeriod 12 - 05/19/2024
4793645,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/30/24,1.25,5/30/24 9:45,5/30/24 11:00,TO - PayPeriod 12 - 05/19/2024
4793735,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/30/24,1.25,5/30/24 11:00,5/30/24 12:15,TO - PayPeriod 12 - 05/19/2024
4794304,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/30/24,1.25,5/30/24 12:45,5/30/24 14:00,TO - PayPeriod 12 - 05/19/2024
4794305,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/30/24,0.75,5/30/24 14:30,5/30/24 15:15,TO - PayPeriod 12 - 05/19/2024
4794306,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/30/24,0.75,5/30/24 15:15,5/30/24 16:00,TO - PayPeriod 12 - 05/19/2024
4796486,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/31/24,2,5/31/24 12:00,5/31/24 14:00,TO - PayPeriod 12 - 05/19/2024
4796488,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/31/24,3.75,5/31/24 8:15,5/31/24 12:00,TO - PayPeriod 12 - 05/19/2024
4796789,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/31/24,2,5/31/24 14:00,5/31/24 16:00,TO - PayPeriod 12 - 05/19/2024
4797334,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/31/24,1.25,5/31/24 17:00,5/31/24 18:15,TO - PayPeriod 12 - 05/19/2024
4797564,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),5/31/24,1,5/31/24 16:00,5/31/24 17:00,TO - PayPeriod 12 - 05/19/2024
4799736,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/3/24,0.75,6/3/24 8:15,6/3/24 9:00,TO - PayPeriod 13 - 06/02/2024
4803063,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/3/24,1.25,6/3/24 14:30,6/3/24 15:45,TO - PayPeriod 13 - 06/02/2024
4803064,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/3/24,1,6/3/24 9:30,6/3/24 10:30,TO - PayPeriod 13 - 06/02/2024
4803295,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/3/24,1.25,6/3/24 15:45,6/3/24 17:00,TO - PayPeriod 13 - 06/02/2024
4805494,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/3/24,2.25,6/3/24 10:30,6/3/24 12:45,TO - PayPeriod 13 - 06/02/2024
4805578,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/3/24,1,6/3/24 13:30,6/3/24 14:30,TO - PayPeriod 13 - 06/02/2024
4805589,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/4/24,2.25,6/4/24 8:15,6/4/24 10:30,TO - PayPeriod 13 - 06/02/2024
4805591,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/4/24,2,6/4/24 10:30,6/4/24 12:30,TO - PayPeriod 13 - 06/02/2024
4808607,sub,COGS,Folks,TO,OutTheKitchen,OTK109,ANIM - Animation (Shot),Worktime,Animation,ANM - Animation (Shot),6/5/24,4,6/5/24 13:00,6/5/24 17:00,TO - PayPeriod 13 - 06/02/2024
