Id,Status,Person > Department > Type,Person > Brand,Location,Project,Bid Link,Task,Type,Department,Step,Date,Logged Hours,Start Time,Stop Time,Pay Period
4724705,sub,SG&A,Fuse,LA,FolksUnitTests,FUT789,,Worktime,Pipeline & Development,CMP - Compositing (Shot),4/25/24,1.5,4/26/24 1:30,4/26/24 3:00,LA - PayPeriod 10 - 04/22/2024
4727152,sub,non-artist COGS,Folks,BO,PeterPan,PP100,Supervisor,Worktime,Composite Supervision,SUP - Supervisor (Episode),4/25/24,1,4/26/24 0:00,4/26/24 1:00,BO - PayPeriod 8 - 04/16/2024
4740999,sub,SG&A,Fuse,BC,FuseFX Admin,,,Worktime,Information Technology,,4/25/24,0.5,4/26/24 0:30,4/26/24 1:00,BC - PayPeriod 10 - 04/21/2024
4741274,sub,non-artist COGS,Fuse,LA,Monster,MTR201,Producer,Worktime,VFX Production,PRO - Producer (Episode),4/25/24,2.5,4/26/24 0:30,4/26/24 3:00,LA - PayPeriod 10 - 04/22/2024
4745246,sub,non-artist COGS,Fuse,LA,Nuremberg,NUR100,Supervisor,Worktime,VFX Supervision,SUP - Supervisor (Episode),4/25/24,1,4/26/24 2:00,4/26/24 3:00,LA - PayPeriod 10 - 04/22/2024
4746107,sub,non-artist COGS,Fuse,BC,MechanicalUP,MCL200,Producer,Worktime,VFX Production,PRO - Producer (Episode),4/25/24,2,4/26/24 0:00,4/26/24 2:00,BC - PayPeriod 10 - 04/21/2024
4538262,,non-artist COGS,Folks,TO,Misc,,,Time Off Unpaid,VFX Supervision,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,
4575208,,COGS,Folks,MT,Misc,,,Vacation,FX Artist,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,MT - PayPeriod 10 - 04/21/2024
4635514,,COGS,Folks,MT,Misc,,,Time Off Unpaid,Tracking,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,MT - PayPeriod 10 - 04/21/2024
4643521,,COGS,Folks,MT,Misc,,,Meal Break,Compositor,,4/26/24,1,4/26/24 13:00,4/26/24 14:00,
4647277,,COGS,Folks,TO,Misc,,,Time Off Unpaid,FX Artist,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,
4659716,,SG&A,Folks,MT,Misc,,,Vacation,Pipeline & Development,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,MT - PayPeriod 10 - 04/21/2024
4676766,,COGS,Folks,MT,Misc,,,Vacation,FX Artist,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,
4681546,,COGS,Folks,MT,Misc,,,Time Off Unpaid,Environment,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,MT - PayPeriod 10 - 04/21/2024
4693110,,SG&A,Folks,MT,Misc,,,Time Off Unpaid,Executive,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,
4698790,sub,COGS,Folks,BO,Misc,,,Time Off Unpaid,Lighting,,4/26/24,8,4/26/24 10:00,4/26/24 18:00,BO - PayPeriod 8 - 04/16/2024
4705842,,SG&A,Folks,MT,Misc,,,Vacation,Information Technology,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,
4706064,,non-artist COGS,Folks,MT,Misc,,,Time Bank,Composite Supervision,,4/26/24,8,4/26/24 9:00,4/26/24 17:00,MT - PayPeriod 10 - 04/21/2024
4706749,sub,SG&A,Fuse,LA,FuseFX Admin,,,Vacation,Finance,,4/26/24,3,4/26/24 12:30,4/26/24 15:30,LA - PayPeriod 10 - 04/22/2024
4706750,,SG&A,Fuse,LA,FuseFX Admin,,,Meal Break,Finance,,4/26/24,1,4/26/24 15:30,4/26/24 16:30,LA - PayPeriod 10 - 04/22/2024
4706751,sub,SG&A,Fuse,LA,FuseFX Admin,,,Vacation,Finance,,4/26/24,5,4/26/24 16:30,4/26/24 21:30,LA - PayPeriod 10 - 04/22/2024
4711323,sub,COGS,Folks,BO,Misc,,,Meeting,Rigging,,4/26/24,0.5,4/26/24 10:00,4/26/24 10:30,BO - PayPeriod 8 - 04/16/2024
4711336,sub,COGS,Folks,BO,Misc,,,Meal Break,Rigging,,4/26/24,1,4/26/24 14:00,4/26/24 15:00,BO - PayPeriod 8 - 04/16/2024
4712381,,SG&A,Folks,MT,Misc,,,Worktime,Finance,,4/26/24,3.5,4/26/24 8:30,4/26/24 12:00,MT - PayPeriod 10 - 04/21/2024
4712383,,SG&A,Folks,MT,Misc,,,Worktime,Finance,,4/26/24,4.5,4/26/24 12:45,4/26/24 17:15,MT - PayPeriod 10 - 04/21/2024
4712793,sub,COGS,Folks,TO,Misc,,,Meal Break,Compositor,,4/26/24,1,4/26/24 12:00,4/26/24 13:00,TO - PayPeriod 10 - 04/21/2024
4712899,,non-artist COGS,Fuse,GA,FuseFX Admin,,,Meeting,CG Supervision,,4/26/24,0.25,4/26/24 9:45,4/26/24 10:00,GA - PayPeriod 10 - 04/22/2024
4712900,,non-artist COGS,Fuse,GA,FuseFX Admin,,,Meeting,CG Supervision,,4/26/24,0.5,4/26/24 11:00,4/26/24 11:30,GA - PayPeriod 10 - 04/22/2024
4712906,,non-artist COGS,Fuse,GA,FuseFX Admin,,,Meal Break,CG Supervision,,4/26/24,1,4/26/24 13:45,4/26/24 14:45,GA - PayPeriod 10 - 04/22/2024
4712951,,SG&A,Fuse,NY,FuseFX Admin,,,Worktime,Information Technology,,4/26/24,4,4/26/24 9:00,4/26/24 13:00,NY - PayPeriod 10 - 04/22/2024
4712952,,SG&A,Fuse,NY,FuseFX Admin,,,Meal Break,Information Technology,,4/26/24,1,4/26/24 13:00,4/26/24 14:00,NY - PayPeriod 10 - 04/22/2024
4712953,,SG&A,Fuse,NY,FuseFX Admin,,,Worktime,Information Technology,,4/26/24,4,4/26/24 14:00,4/26/24 18:00,NY - PayPeriod 10 - 04/22/2024
4712990,sub,COGS,Folks,BO,Misc,,,Meal Break,Animation,,4/26/24,1,4/26/24 14:00,4/26/24 15:00,BO - PayPeriod 8 - 04/16/2024
4712995,sub,COGS,Folks,BO,Verne,JV205,,Meeting,Animation,,4/26/24,1,4/26/24 10:00,4/26/24 11:00,BO - PayPeriod 8 - 04/16/2024
4713015,sub,COGS,Folks,BO,Misc,,,Meeting,Rigging,,4/26/24,1,4/26/24 10:30,4/26/24 11:30,BO - PayPeriod 8 - 04/16/2024
4713114,,non-artist COGS,Folks,BO,Misc,,,Meeting,Editorial,,4/26/24,0.5,4/26/24 11:00,4/26/24 11:30,BO - PayPeriod 8 - 04/16/2024
4713115,,non-artist COGS,Folks,BO,Misc,,,Meeting,Editorial,,4/26/24,1.25,4/26/24 11:45,4/26/24 13:00,BO - PayPeriod 8 - 04/16/2024
4713120,,non-artist COGS,Folks,BO,Misc,,,Meal Break,Editorial,,4/26/24,1,4/26/24 13:30,4/26/24 14:30,BO - PayPeriod 8 - 04/16/2024
4713142,sub,non-artist COGS,Folks,BO,ElDolor,ED103,Editorial,Worktime,Editorial,EDT - Editorial (Episode),4/26/24,2,4/26/24 9:00,4/26/24 11:00,BO - PayPeriod 8 - 04/16/2024
4713143,,non-artist COGS,Folks,BO,Misc,,,Worktime,Editorial,,4/26/24,0.25,4/26/24 11:30,4/26/24 11:45,BO - PayPeriod 8 - 04/16/2024
